FECHAS,PRECIO-usd,MARKET_CAP-usd,TOTAL_VOLUMES,COIN_ID,RSI,MovingAverage
2020-01-02,7193.7546679601,130422953817.668,18123516838.8979,bitcoin,,
2020-01-03,6963.853353983485,126280790200.20206,20313194628.09452,bitcoin,,
2020-01-04,7300.34693530511,132766262579.09486,31015776262.21867,bitcoin,,
2020-01-05,7351.377053166627,133474716218.18332,20611640058.34164,bitcoin,,
2020-01-06,7349.972248050628,133388991086.87988,21929224570.56102,bitcoin,,
2020-01-07,7734.675515785289,140557168287.4443,28148518761.51164,bitcoin,,
2020-01-08,8147.415237636371,147798610895.50055,34823187724.289955,bitcoin,,
2020-01-09,8045.789124592971,146089575425.2795,39971512000.06816,bitcoin,,
2020-01-10,7832.795643840387,141913856953.47913,29276053440.88472,bitcoin,,
2020-01-11,8180.513169803805,146879934259.3087,35777298156.26295,bitcoin,,
2020-01-12,8012.085781814529,145561586658.57422,31504583511.03613,bitcoin,,
2020-01-13,8171.401185320944,148204228775.38776,27533390875.51989,bitcoin,,
2020-01-14,8110.647964503772,147446058196.45944,27962176780.62824,bitcoin,,
2020-01-15,8801.871213137745,159481192213.82108,55384169405.51928,bitcoin,77.51106569574816,
2020-01-16,8820.85010599613,159960761751.8495,48160401007.254,bitcoin,77.71646985336453,
2020-01-17,8720.91950137424,158412991117.64667,36462155571.2176,bitcoin,73.88966449689752,
2020-01-18,8902.568995225329,161848747742.1508,41671910798.34088,bitcoin,76.18523178430563,
2020-01-19,8906.902675151074,161823609428.34625,36801813631.51236,bitcoin,76.2389042272985,
2020-01-20,8690.380569544623,157906057309.30655,39242297095.94223,bitcoin,67.99366012875632,
2020-01-21,8631.253954333763,156848009983.54858,29527689342.88548,bitcoin,65.89779555065115,8093.468744826346
2020-01-22,8724.818622931474,158564958350.98007,27057681779.746685,bitcoin,67.59978267435547,8170.021942574915
2020-01-23,8665.436914096897,157502652064.02246,25628542094.50134,bitcoin,65.3699242560692,8255.101120580584
2020-01-24,8415.956027335538,152984928858.5764,30696020541.207973,bitcoin,56.88073084362792,8310.881575182106
2020-01-25,8432.096675789418,153294353936.51035,30691734305.128677,bitcoin,57.267379367829626,8364.917556313247
2020-01-26,8348.665665079325,151794495723.25214,26582198966.298725,bitcoin,54.544746381617806,8414.852227164682
2020-01-27,8595.728298493115,156302144661.30927,30241155463.2706,bitcoin,60.52916961333298,8457.904866300072
2020-01-28,8879.335548714553,161473602737.4275,39661537339.92209,bitcoin,66.0540308360431,8494.500881853983
2020-01-29,9320.805853868467,169518428144.8912,49812761504.1306,bitcoin,72.50551397912389,8558.251718317757
2020-01-30,9276.893821086494,168738228801.50467,47273353143.75747,bitcoin,71.05888724923814,8630.456627180061
2020-01-31,9509.80513557522,172993102966.37723,51037775414.9802,bitcoin,74.0197636309674,8696.921225468632
2020-02-01,9308.060285564778,169340144566.23718,50102814005.68021,bitcoin,67.57119665565,8761.719950656145
2020-02-02,9363.22420680057,170361167834.16483,48307978233.84802,bitcoin,68.3823126720361,8821.311101730127
2020-02-03,9338.416631939404,169926610304.08496,55025402183.68224,bitcoin,67.56388457664912,8882.699535101907
2020-02-04,9308.91270229121,169406963182.6937,56824765307.81458,bitcoin,66.54382683868538,8908.051609559581
2020-02-05,9179.95928107711,167075369075.11478,55377658455.62325,bitcoin,62.12872929647899,8926.007068313631
2020-02-06,9592.18387389791,174596806174.2994,65675565620.91084,bitcoin,69.17053754251842,8969.570286939814
2020-02-07,9744.636578159389,177388314197.5645,71141695218.03949,bitcoin,71.29622428246608,9011.673666086517
2020-02-08,9799.448455824684,178414902529.15167,69495711755.62915,bitcoin,72.04259467719913,9056.300955120198
2020-02-09,9890.701658194865,180081607384.42255,71561797135.19986,bitcoin,73.28791556668784,9116.317009552708
2020-02-10,10148.379719131784,184792100015.1636,78110955304.52135,bitcoin,76.47457661165751,9192.173297792611
2020-02-11,9890.121224019967,180145850760.05316,81406687324.35088,bitcoin,67.75080284919144,9250.438427847035
2020-02-12,10226.925769215322,186262984851.99292,38930644711.90421,bitcoin,72.20405041659681,9328.512870602957
2020-02-13,10328.897565836414,188132988212.86743,45456624047.83392,bitcoin,73.40161781562622,9424.159947528
2020-02-14,10221.260309201634,186190344916.03287,54151236617.55855,bitcoin,69.97452669517568,9513.61812919861
2020-02-15,10320.157140513991,187680301470.7393,50206573483.049774,bitcoin,71.30039497132618,9612.192702970346
2020-02-16,9894.136123789158,180265718400.5704,51460340288.898056,bitcoin,59.177636230506685,9677.113094235146
2020-02-17,9943.673602578743,181221481668.7407,42364906261.0548,bitcoin,60.02866787114964,9730.329996928356
2020-02-18,9723.605026422496,176547652266.39673,48517591137.468,bitcoin,54.58456606130853,9750.469955556056
2020-02-19,10133.817417084678,184918071499.10077,54648014949.72496,bitcoin,61.57925953360162,9793.316135355966
2020-02-20,9618.409248250406,175312937106.92148,50502739123.75383,bitcoin,50.95944129997302,9798.746340989726
2020-02-21,9608.16918128246,174871048291.16623,53579139400.80847,bitcoin,50.772095529721746,9813.75178577561
2020-02-22,9673.011800270346,176701844101.55685,37678167400.71924,bitcoin,51.97607564676227,9829.241165449097
2020-02-23,9658.606058375472,176097270350.4831,32555342237.08436,bitcoin,51.67370658962228,9845.250636770903
2020-02-24,9946.716123467522,181368043820.0941,38743680759.32858,bitcoin,57.05463971919592,9877.140807829719
2020-02-25,9670.9608064677,175872097740.40662,41928789500.12296,bitcoin,51.180687956485606,9901.690884099247
2020-02-26,9345.342701734848,170478976467.6238,39441760776.3185,bitcoin,45.255765675416924,9889.348825491095
2020-02-27,8801.657129472504,160731785487.8149,45140119229.63602,bitcoin,37.45837314286577,9842.19985305675
2020-02-28,8781.175282202359,160149975301.41962,43045469000.97675,bitcoin,37.19835407139538,9791.286194375632
2020-02-29,8717.331431359424,159030381910.26715,41297721067.30182,bitcoin,36.35130049871466,9732.617683033863
2020-03-01,8552.989118581636,156047250857.11172,33291626663.006737,bitcoin,34.1928716627704,9652.848153006355
2020-03-02,8567.802248679225,155934421965.2728,34310775733.322155,bitcoin,34.56998934730409,9586.732204239317
2020-03-03,8905.876104262194,162521881368.8758,59776629742.57125,bitcoin,42.647959854872994,9520.679720991659
2020-03-04,8756.718576742549,159816567727.14258,68336042797.3885,bitcoin,40.28484288477124,9442.070771536968
2020-03-05,8758.646993191916,159869936941.09732,38832067216.87788,bitcoin,40.330876697878146,9368.940105736481
2020-03-06,9038.870323233425,165070261612.788,38122635173.15044,bitcoin,46.75428039608973,9304.875764872453
2020-03-07,9135.84506603321,166791067805.42844,41388087588.44269,bitcoin,48.80807064871574,9266.961211984655
2020-03-08,8902.20195010789,162543409238.00458,36764763103.12236,bitcoin,44.36771750656348,9214.887629361114
2020-03-09,8041.365538071835,147076617271.6885,39132209137.69724,bitcoin,32.59992914635899,9130.77565494358
2020-03-10,7921.33200691072,144664117909.4077,45678665163.11017,bitcoin,31.35125441975964,9020.151384434883
2020-03-11,7906.731528510632,144410718987.88852,40882213633.94649,bitcoin,31.19473682026441,8934.567498447894
2020-03-12,7935.522040170545,144948460093.29614,38689036552.81125,bitcoin,31.91653681620147,8850.935141392296
2020-03-13,5142.990459018316,93092131086.97026,50009548492.07486,bitcoin,15.228857757850378,8624.434074329696
2020-03-14,5542.819542373153,101262945297.35812,74329688818.10397,bitcoin,21.553213715807516,8418.644748529581
2020-03-15,5214.189112383918,95216478864.65564,36054625746.82817,bitcoin,20.218075688112307,8182.0183979754
2020-03-16,5397.93335743919,98632587514.00249,32985693209.74783,bitcoin,23.086907309697153,7968.367025523975
2020-03-17,5032.501351487721,91962797384.28252,44034438467.96684,bitcoin,21.436003072150015,7752.724958011617
2020-03-18,5389.41577503409,98079756006.79294,36007089253.82256,bitcoin,26.931753573098433,7582.112890289696
2020-03-19,5376.280747845438,98259998309.05324,37618067230.41405,bitcoin,26.857294562493664,7411.868163571851
2020-03-20,6170.200600237675,112778383593.4914,48056214948.15649,bitcoin,38.01270781916419,7284.511622015763
2020-03-21,6195.603505257629,113030383272.51408,50936770688.25396,bitcoin,38.33677294599653,7166.642341349563
2020-03-22,6145.770891252399,112349835902.32983,40189198131.46317,bitcoin,37.91798912150061,7045.540773478223
2020-03-23,5859.647430299388,107128564670.89128,37255748385.30394,bitcoin,35.51883813163643,6893.229339780082
2020-03-24,6456.347485963419,118046727572.5451,45578824447.64577,bitcoin,43.54166858300372,6778.210785241125
2020-03-25,6730.173782371188,123064256188.85924,45846522059.373184,bitcoin,46.81214479930339,6676.787124700089
2020-03-26,6695.900618397724,122445336599.19923,42082295491.03078,bitcoin,46.44946165600065,6559.638639458304
2020-03-27,6765.56207892991,123732739823.4625,34840544710.10888,bitcoin,47.3424636483722,6441.12449010314
2020-03-28,6397.826328325604,117019679177.8136,32910551599.472366,bitcoin,43.24295409988019,6315.905709014025
2020-03-29,6255.000398693634,114171796491.49911,35231848358.55144,bitcoin,41.731479949409746,6226.587452045114
2020-03-30,5915.337154791903,108551603303.50957,25923471292.176422,bitcoin,38.302690426078435,6126.287709439174
2020-03-31,6403.141235565223,117151628726.53436,34907149977.57921,bitcoin,45.25889235388993,6051.108194791904
2020-04-01,6421.70541388854,117750205634.39989,32287674952.1782,bitcoin,45.51067879406346,5975.4173634778035
2020-04-02,6640.797666310131,120921617010.34784,35886963977.71526,bitcoin,48.52016184577163,6050.307723842394
2020-04-03,6807.897017890566,124719708453.63536,47638672293.73783,bitcoin,50.754158384350085,6113.561597618265
2020-04-04,6732.852018394612,123234164427.70816,39867535857.25387,bitcoin,49.71081354696978,6189.494742918799
2020-04-05,6859.424923721944,125564427826.17566,35009177102.13241,bitcoin,51.52096085035633,6262.569321232937
2020-04-06,6788.048272605917,124272363451.93964,31885662165.01491,bitcoin,50.418832448481446,6350.346667288847
2020-04-07,7297.635558289496,133484854333.44952,45370138560.82485,bitcoin,57.42180724833645,6445.757656451617
2020-04-08,7196.782202442051,131782164465.85344,43386074290.71468,bitcoin,55.74370620446956,6536.782729181448
2020-04-09,7342.291601148024,134518720640.0234,38922547592.862114,bitcoin,57.66598377332896,6595.387279226966
2020-04-10,7294.488875121554,133598651281.71776,34921486435.060486,bitcoin,56.79324545429954,6650.331547720161
2020-04-11,6864.694257006497,125740858699.27551,37828011010.9016,bitcoin,49.53444826978969,6686.277716007867
2020-04-12,6878.781212589853,125980543742.365,30280054180.28837,bitcoin,49.76109475979574,6737.23440512239
2020-04-13,6913.158787469097,126655463658.31229,34544392366.04943,bitcoin,50.34715316713426,6760.074970197673
2020-04-14,6857.538537511484,125651103790.21223,38062368291.08157,bitcoin,49.34420322635537,6766.443207954688
2020-04-15,6860.17853570111,125713883015.64565,33837365577.44977,bitcoin,49.39573165092153,6774.657103819857
2020-04-16,6629.431738031291,121499498109.80827,29692916171.011845,bitcoin,45.07942022031992,6767.850586774926
