FECHAS,PRECIO-usd,MARKET_CAP-usd,TOTAL_VOLUMES,COIN_ID,RSI,MovingAverage
2020-01-02,130.4846850311141,14230588104.281237,6623732040.964472,ethereum,,
2020-01-03,127.04525801179804,13859793329.814829,6497297884.22486,ethereum,,
2020-01-04,133.70264861844188,14613194775.854176,9655245099.720837,ethereum,,
2020-01-05,134.1368826978575,14636213160.069317,6958393690.018681,ethereum,,
2020-01-06,135.00571364233377,14738834254.266088,7260645128.406949,ethereum,,
2020-01-07,143.80639795566535,15692578635.119991,9514201882.396584,ethereum,,
2020-01-08,143.019432264986,15656491188.064734,9440938787.519836,ethereum,,
2020-01-09,140.27393527388705,15364547561.67077,10095847759.294762,ethereum,,
2020-01-10,137.86055928182662,14998595868.023438,7280640218.292043,ethereum,,
2020-01-11,144.6047743464792,15647071448.436348,10273370788.312328,ethereum,,
2020-01-12,142.18233327497873,15564837467.520994,9737605323.282524,ethereum,,
2020-01-13,145.42287633530452,15859031094.44091,8488793477.5950365,ethereum,,
2020-01-14,143.58796905036286,15715287657.358463,8019794567.486078,ethereum,,
2020-01-15,165.99143854583525,18075462340.568443,18970204899.197784,ethereum,81.20519205204134,
2020-01-16,166.2530969048888,18104742352.01537,17862385531.73745,ethereum,81.31573841640687,
2020-01-17,163.80590111423027,17869543294.566414,14605493158.53319,ethereum,76.76790006568257,
2020-01-18,171.15621787671842,18727969032.79025,15915322019.78247,ethereum,80.32688092265799,
2020-01-19,174.23837318258896,19138755594.52358,15808136411.02366,ethereum,81.5997782872489,
2020-01-20,166.6271059505621,18220366702.24461,14003433869.000366,ethereum,69.62017556129936,
2020-01-21,166.93852805776982,18243871990.6739,10983216126.222286,ethereum,69.81543655197954,
2020-01-22,169.27993585839258,18460475135.804623,8267420452.912106,ethereum,71.30855726772108,
2020-01-23,167.8265296405669,18358377435.95901,8809189828.884594,ethereum,69.02602196422681,
2020-01-24,162.51937110634034,17722969842.693172,9017537604.34573,ethereum,61.30884090616836,
2020-01-25,162.40947975163584,17777723072.283943,11043498594.604164,ethereum,61.156374653407916,
2020-01-26,160.6736108617405,17587666193.195988,8673816085.484137,ethereum,58.674180603117,
2020-01-27,167.6474095857562,18279197138.315884,10518901915.39258,ethereum,64.84712082643483,
2020-01-28,169.7364357354222,18576520021.386745,12435457692.695446,ethereum,66.4631600137275,
2020-01-29,175.19000305345378,19212409346.36024,14300512538.139254,ethereum,70.30152775384369,
2020-01-30,173.70688823620796,19140249467.28951,15565369994.796808,ethereum,68.02145279998801,
2020-01-31,184.72621843141044,20090242968.224342,18170945326.39071,ethereum,74.6102711006169,
2020-02-01,179.22910385240368,19751392940.99724,18506953476.934044,ethereum,67.17463091050693,
2020-02-02,183.33693755210257,20079997942.89275,19083817630.29935,ethereum,69.61180940504714,
2020-02-03,188.55064179431116,20619310835.276108,21543158277.49522,ethereum,72.41158188178981,
2020-02-04,189.86176346298168,20791014743.30193,23519056716.26084,ethereum,73.08320031574817,
2020-02-05,188.8422073694828,20665245888.10715,21734656893.64477,ethereum,71.62303726234813,
2020-02-06,203.8593183747095,22414850796.683693,27708721578.171207,ethereum,78.45195190617977,
2020-02-07,212.73341421352785,23314707733.86607,30730370695.67516,ethereum,81.31370055026419,
2020-02-08,223.27631974792,24407934017.312397,34073387340.7219,ethereum,84.02771141424182,
2020-02-09,223.30077697426225,24478412143.01876,35852075948.97941,ethereum,84.03350475994128,
2020-02-10,228.29226083217347,25011126326.73704,37065973224.819984,ethereum,85.21237970631651,
2020-02-11,224.14699652028605,24577280465.17777,40180881296.506096,ethereum,79.93404218660032,
2020-02-12,236.78534852972567,25966283262.662064,17260236147.946793,ethereum,83.32539466578237,
2020-02-13,264.03276824299627,29001954205.996136,25083848405.774597,ethereum,88.02458647461262,
2020-02-14,267.6704445042514,29312880235.867893,31919298278.23887,ethereum,88.49091476451184,
2020-02-15,284.2318914741183,31059453816.69378,32486783383.59592,ethereum,90.33600230863789,
2020-02-16,263.8999463915962,28909877146.05339,31021139510.840595,ethereum,74.53748775353176,
2020-02-17,262.1562443168135,28746450516.039288,26307305450.095947,ethereum,73.35267590594941,
2020-02-18,267.9356656159883,29075052114.63163,28621805406.26781,ethereum,74.78340632546372,
2020-02-19,281.9457403055278,31034929114.66128,33038477053.26572,ethereum,77.88341591754185,
2020-02-20,259.1838037480287,28662558273.135616,24634102799.07547,ethereum,64.09657192663514,186.06263207003525
2020-02-21,257.9883953048601,28258309183.25315,34355959852.74692,ethereum,63.46121170103775,188.61270627551022
2020-02-22,265.1644591338591,29114570356.366127,18672669187.760765,ethereum,65.66169812180738,191.37509029795143
2020-02-23,260.99654013152536,28657670954.134422,14860160863.37393,ethereum,63.27808620304049,193.9209681282131
2020-02-24,274.6312157785517,30135977087.94057,15734092874.96997,ethereum,67.44191202825758,196.73085478982696
2020-02-25,265.2421912203732,28974292556.854683,21019871769.54907,ethereum,62.21080710701869,199.33558434138774
2020-02-26,248.31738139395105,27274600634.783813,15216321566.877129,ethereum,54.06934068258137,201.42580401015346
2020-02-27,224.8105082974468,24823014146.598347,20470479538.05484,ethereum,45.21808791982354,203.06162553080267
2020-02-28,225.42971511683757,24879553838.25944,23994578699.806023,ethereum,45.4713115742706,204.7647411276617
2020-02-29,227.70528448376496,25137364865.97101,19715536659.91429,ethereum,46.4509324467721,206.56163563170045
2020-03-01,218.34835692985288,24105658618.96741,13967572974.821035,ethereum,43.02790011293152,208.03650728336794
2020-03-02,218.93979697447656,24049874527.90718,16557363028.554333,ethereum,43.31225968565778,209.5716565573579
