FECHAS,PRECIO-usd,MARKET_CAP-usd,TOTAL_VOLUMES,COIN_ID,RSI,MovingAverage
2020-01-02,0.0020256529175354,248529647.116573,38576914.81140906,dogecoin,,
2020-01-03,0.002008392768899,247094892.42233893,46080313.1698568,dogecoin,,
2020-01-04,0.0020488746556611,251527987.79634985,40863740.2637823,dogecoin,,
2020-01-05,0.0021893358810617,268594298.65203285,46196902.62503713,dogecoin,,
2020-01-06,0.002070406002027,254259070.1197398,32539590.81985469,dogecoin,,
2020-01-07,0.002130012065464,261857064.67104656,38106371.073414624,dogecoin,,
2020-01-08,0.0022347809887025,275004935.79986775,43529571.27630211,dogecoin,,
2020-01-09,0.0021698238204068,267243278.20635143,43151513.17199349,dogecoin,,
2020-01-10,0.0022898991972156,280642957.93576306,48004964.6872597,dogecoin,,
2020-01-11,0.0022604175530193,277319085.421688,53435758.9843392,dogecoin,,
2020-01-12,0.0022184065662058,274549041.47028416,60455962.13803458,dogecoin,,
2020-01-13,0.0022653219436426,278184999.84880733,52330281.75188446,dogecoin,,
2020-01-14,0.0021502904144149,268905102.8804797,48689131.79398153,dogecoin,,
2020-01-15,0.0023332170388867,285915720.1525665,86813590.25639725,dogecoin,64.12484700445707,
2020-01-16,0.0023988994843749,293219030.2143502,107025135.71837308,dogecoin,67.1847132952549,
2020-01-17,0.0023355947889077,287096649.09641534,79745346.96790454,dogecoin,61.720710678658605,
2020-01-18,0.0024266579520018,298313408.1320623,98670907.34183107,dogecoin,66.00384524341555,
2020-01-19,0.0024978974841496,307116384.3177905,91648033.563276,dogecoin,68.93249378950262,
2020-01-20,0.002408133891485,295309242.2699767,87205354.75027466,dogecoin,61.71789156110225,
2020-01-21,0.0023910498653669,294045586.6172205,73125411.42149109,dogecoin,60.42173846461129,
2020-01-22,0.0023730814842065,292003032.95144904,67442647.37519659,dogecoin,59.017851870310636,
2020-01-23,0.0023673337410396,291194286.0861457,68481208.43920273,dogecoin,58.54921872701712,
2020-01-24,0.0022401405755836,277076163.52581805,70446234.76942727,dogecoin,49.232687374047856,
2020-01-25,0.0022725871241637,279603078.3399694,67906669.73371239,dogecoin,51.35899032120676,
2020-01-26,0.0022451092171118,276253328.58337873,63624027.58255218,dogecoin,49.46935901011763,
2020-01-27,0.0023064480379864,282730605.071507,57079680.62868142,dogecoin,53.57559063013145,
2020-01-28,0.0023658050320081,291169771.48012865,71267011.27385685,dogecoin,57.20012556290594,
2020-01-29,0.0024452269213911,300978822.31486434,73912107.34704554,dogecoin,61.52825989443093,
2020-01-30,0.0023899527892344,293720726.42376184,60908834.3515024,dogecoin,57.1934418653494,
2020-01-31,0.002431817492304,299395266.276698,68004034.73337087,dogecoin,59.51966364058535,
2020-02-01,0.0023867772441504,293883414.0927982,58805204.81953648,dogecoin,55.99416140380719,
2020-02-02,0.0024052458887393,296190766.360422,61580812.41013885,dogecoin,57.11585996887684,
2020-02-03,0.0024687958181044,304050716.34409064,74934190.64597635,dogecoin,60.81694363992071,
2020-02-04,0.0024399251647118,300528804.91610813,64002051.11978398,dogecoin,58.35304985773212,
2020-02-05,0.00247698549871,305127579.11080337,61160180.35437329,dogecoin,60.56182545249465,
2020-02-06,0.0025801212331233,317868370.34649044,74945448.71775518,dogecoin,65.97068945618784,
2020-02-07,0.0026613780358569,327915495.04639745,68693591.6002877,dogecoin,69.51777139373988,
2020-02-08,0.0027733568756612,341082966.9310376,74768228.3109035,dogecoin,73.60151112198233,
2020-02-09,0.0031526232578347,388530856.4864009,114237107.48269545,dogecoin,82.26691358861771,
2020-02-10,0.0032205221096482,396943068.4913495,122582884.23405837,dogecoin,83.32238478364934,
2020-02-11,0.0030157853891987,371749850.1071834,104681582.67689836,dogecoin,69.82652702112516,
2020-02-12,0.003052700885409,376342792.7170969,152367638.31450644,dogecoin,70.74658054061953,
2020-02-13,0.003050979565269,376172783.65998447,153307473.93043435,dogecoin,70.63842061152454,
2020-02-14,0.0030327996529067,373973425.0449148,146323760.9897969,dogecoin,69.43108035432984,
2020-02-15,0.0031020224427573,382529765.13897663,121465386.01636072,dogecoin,71.43320975819299,
2020-02-16,0.0029604601010514,365134652.2338547,118598157.54534286,dogecoin,62.42834493439579,
2020-02-17,0.0028394801353567,345487246.86260724,129451161.48156218,dogecoin,55.938447356510856,
2020-02-18,0.0027217188444984,330646020.9088191,121852389.24682634,dogecoin,50.44154313516502,
2020-02-19,0.0028449184923232,347694085.36952585,120924221.3564568,dogecoin,55.38140950618324,
2020-02-20,0.0026590167391196,329247157.05573463,120435360.74675378,dogecoin,47.661322155958146,0.002482723621377754
2020-02-21,0.0026401007480969,325132840.28354263,163959447.29513237,dogecoin,46.9442369042937,0.002495012577988984
2020-02-22,0.0026604761565878,328355983.4467112,139383775.86398557,dogecoin,47.85432803382454,0.0025080542457427604
2020-02-23,0.0026169490257745,323020192.18934584,143129454.88647804,dogecoin,46.03754577843986,0.002519415733145028
2020-02-24,0.0026838338713183,331312903.24520266,167584709.26129562,dogecoin,49.2273488339024,0.00252930569295016
2020-02-25,0.0025982214121175,320780422.6428275,141406806.18826887,dogecoin,45.518382237092894,0.00253986200115197
2020-02-26,0.0024876920158968,307640834.485865,159530093.72414365,dogecoin,41.202266422461065,0.0025470156001606258
2020-02-27,0.0023276803803001,287388014.02649766,174293462.49905425,dogecoin,35.89576872885212,0.002548873587992578
2020-02-28,0.0023297403362865,288730742.5873611,138916299.7128656,dogecoin,36.01002758101759,0.002552071918310172
2020-02-29,0.0023080972829547,285088979.4241193,130103960.27279843,dogecoin,35.29815793672482,0.002552435880024954
2020-03-01,0.0022437601369123,277173142.3073316,122706371.4694886,dogecoin,33.197249758691115,0.0025521027317028143
2020-03-02,0.0022428180913847,276525338.1066594,132312472.16995798,dogecoin,33.16612223945191,0.002552590962206392
2020-03-03,0.0023684221012496,292637623.8657013,141216615.1434779,dogecoin,41.09659536648021,0.002554652965358532
2020-03-04,0.002411659726685,298013222.6554983,145310587.21271068,dogecoin,43.57852731501766,0.0025598803516039335
2020-03-05,0.0024638598811355,304497587.25450265,130345674.18698607,dogecoin,46.50891778056651,0.00256249320844891
2020-03-06,0.0024781700230212,306300424.48076445,85693524.53818743,dogecoin,47.31673039426039,0.002564078619221836
2020-03-07,0.0024872009983643,307450941.5042309,81573107.81165162,dogecoin,47.851963059173784,0.002567110743410968
2020-03-08,0.0024261943328266,299943225.37830424,68887904.53028291,dogecoin,44.55867673765498,0.002567101471027464
2020-03-09,0.0021737673739305,269347499.5804046,79686704.90746602,dogecoin,34.10091221578709,0.002560618868823082
2020-03-10,0.0021960767238393,271554683.58954656,105653413.87130304,dogecoin,35.54079578678642,0.002556377725470168
2020-03-11,0.0022037358274091,272532064.57710326,88469387.3534648,dogecoin,36.057348120265885,0.002552631444711012
2020-03-12,0.0021913757819787,271034084.12404734,81850204.70560278,dogecoin,35.56207665168145,0.002548997330666456
2020-03-13,0.0014834682898671,183588292.09236535,110773263.56278166,dogecoin,19.251786460238563,0.002531320021643006
2020-03-14,0.0017192781040854,212660911.622022,162397713.99004295,dogecoin,30.660244086709497,0.0025209027722130416
2020-03-15,0.0016554647971862,205572589.55604807,83287639.85381952,dogecoin,29.447748505695827,0.0025085603256734916
2020-03-16,0.0016963031185443,210527259.0145504,92079970.28261894,dogecoin,31.31963061486286,0.002497584203702142
2020-03-17,0.0015930206260843,197138248.7926614,100216039.671732,dogecoin,29.208929374162395,0.0024833156554641
2020-03-18,0.0016331268061268,203980841.13970348,74523963.29975541,dogecoin,31.149313362923422,0.0024686620909464742
2020-03-19,0.001614416732381,199830238.34854692,74515510.58586784,dogecoin,30.72619020048559,0.0024520458871662722
2020-03-20,0.0017714853852455,219296170.9164783,223278152.6602397,dogecoin,38.30291744665068,0.002439676539086494
2020-03-21,0.0017757305670515,222079539.2994962,158961780.25948435,dogecoin,38.49870644728125,0.002426554800581444
2020-03-22,0.0017813900226714,220571686.03194556,133056132.79038008,dogecoin,38.77763745380986,0.0024144470561518637
2020-03-23,0.001732532386516,213918482.18504408,135249014.28128096,dogecoin,37.20872119515944,0.002400992786107398
2020-03-24,0.0018169736593557,224695676.96147156,140961242.04309145,dogecoin,41.60609081107861,0.002387956342932424
2020-03-25,0.0018716967539753,231830875.29133603,153573605.50318238,dogecoin,44.327148029280174,0.002376591774717694
2020-03-26,0.0018348302025799,227289691.50357187,137546598.60899478,dogecoin,42.87755308367661,0.002363748668795092
2020-03-27,0.0018582875596893,230221150.19889328,129916986.9889954,dogecoin,44.129513442852165,0.002349311995326412
2020-03-28,0.0017840025096302,221042549.90893492,118486362.43302032,dogecoin,41.060393201692925,0.002331764484801878
2020-03-29,0.0017866123776551,221390520.7241562,139854381.53124577,dogecoin,41.21507973531253,0.002312029594841756
2020-03-30,0.0017201093483828,213173580.66658852,127824727.49013916,dogecoin,38.44618711676806,0.0022833793166527182
2020-03-31,0.0018066708506827,224115611.06461063,130308976.22282743,dogecoin,43.743891226645246,0.002255102291473408
2020-04-01,0.0018084981373313,224694247.46939987,125018849.74881092,dogecoin,43.85374629563859,0.00223095654643606
2020-04-02,0.0018612750505886,231608793.21825016,133295929.96956752,dogecoin,47.068771450126924,0.002207128029739652
2020-04-03,0.0018903543609302,233977644.13226712,135883818.3652451,dogecoin,48.808131041789856,0.002183915525652876
2020-04-04,0.0018482682267949,229183776.18408296,130077705.12034462,dogecoin,46.43010459489189,0.0021602248971306403
2020-04-05,0.0018727316885728,232243150.6034204,129554098.02583218,dogecoin,48.01558622554486,0.00213563908204695
2020-04-06,0.0018592389441264,230305063.55678767,123742386.5546454,dogecoin,47.186076750644986,0.00211361465890845
2020-04-07,0.0019952781814612,247255676.24604255,145502189.34077024,dogecoin,55.52813204224891,0.00209673061983054
2020-04-08,0.0020004029521204,248158953.7677872,141907833.74379894,dogecoin,55.81129137072396,0.00208230430198298
2020-04-09,0.0020133965305636,250042291.8720743,127878282.27265082,dogecoin,56.566401567747434,0.002065673862747788
2020-04-10,0.0020236422767315,251097766.85961297,123549292.19990525,dogecoin,57.18765322833505,0.0020529663735000263
2020-04-11,0.0019553233303981,242951200.60039183,134671135.2782357,dogecoin,51.86088361389391,0.00203927082514605
2020-04-12,0.0019945465707499,247542049.6224454,128506937.97806722,dogecoin,54.48225965424455,0.002025952233429292
2020-04-13,0.001975580997513,245455791.60917032,128335738.508342,dogecoin,52.97998200560297,0.002013124872864062
2020-04-14,0.0019595481447037,243252945.76404837,129649088.18245052,dogecoin,51.682596815804224,0.00199863915833177
2020-04-15,0.0019667651447542,244175467.4950874,124216047.95923096,dogecoin,52.249444199782275,0.001986010032984504
2020-04-16,0.0019456332046218,241578570.5171121,131684089.34708844,dogecoin,50.38548934675404,0.001975168856759004
2020-04-17,0.0020228472522372,251193747.3276439,146472116.75338238,dogecoin,56.49287975834759,0.001969072194197746
2020-04-18,0.0019996019927732,248334765.9740806,121729852.72641444,dogecoin,54.32483545497073,0.00196246942732748
2020-04-19,0.0020609063283025,255976766.62735203,127629256.47500652,dogecoin,58.81400004270807,0.0019575256082344362
2020-04-20,0.0020374519148369,253091749.6206748,127839052.89204004,dogecoin,56.52500887106281,0.001953399443792928
2020-04-21,0.0019746003894539,245311641.0820963,129791433.2530466,dogecoin,50.81742875920253,0.001948035089754312
2020-04-22,0.0019602560035349,243556559.7775925,124397419.90261082,dogecoin,49.58679662288169,0.001939871767800018
2020-04-23,0.0020074003477411,249659994.30066797,126033359.2445438,dogecoin,53.5667414243584,0.00193178658022114
