FECHAS,PRECIO-usd,MARKET_CAP-usd,TOTAL_VOLUMES,COIN_ID,RSI,MovingAverage
2020-05-18,0.2006639116278447,8860387827.044128,1540402812.7256663,ripple,47.83749679401054,0.19609782227898698
2020-05-19,0.2046393482591903,9011434283.414942,1746308904.9745858,ripple,51.247615350428944,0.19690106891162704
2020-05-20,0.2047414495967015,9031729491.792507,1785715895.5300689,ripple,51.335609464222934,0.1975771291334789
2020-05-21,0.2018710059893614,8905106034.5785,1733979832.258884,ripple,48.675668752792795,0.19813603643102662
2020-05-22,0.1950121656076696,8602543016.30914,1544535157.9958904,ripple,42.94910950655294,0.1985346019193268
2020-05-23,0.1996088686877518,8816681088.275835,1454970548.1993108,ripple,47.41420464844513,0.19896361627402662
2020-05-24,0.1975492794234443,8714462345.390297,1249075196.4790466,ripple,45.688777303810774,0.199333826075165
2020-05-25,0.1941903629123577,8586301007.646535,1289364325.3179705,ripple,42.944078055841395,0.1996171714418252
2020-05-26,0.196854871965375,8682758874.370806,1572175495.217402,ripple,45.72926045193686,0.1999922383708702
2020-05-27,0.19413459787001,8567002549.941864,1392748661.8291106,ripple,43.399975873670556,0.19998062880458758
2020-05-28,0.1972017579801018,8699660782.665977,1358329184.3187313,ripple,46.69675954243258,0.20007068806563091
2020-05-29,0.2007968979897139,8857724066.1647,1499537828.1718988,ripple,50.347484648557305,0.2000856734232466
2020-05-30,0.1979050286089938,8731198879.71849,1388432175.7669818,ripple,47.52767594334269,0.20008238564123587
2020-05-31,0.2057748292676929,9100788486.566254,1464684241.188124,ripple,54.926063821330985,0.20042930748825388
2020-06-01,0.2032687101969978,8966762754.982592,1594357118.5912654,ripple,52.39268517068465,0.20072296848136226
2020-06-02,0.2108723496202248,9302180983.968418,1561471396.2505286,ripple,58.62767878216744,0.20118173176445545
2020-06-03,0.2032858789259503,8967520116.600977,1737361211.0604465,ripple,51.395190185276,0.20148200198533728
2020-06-04,0.2036247031824327,8982880357.683361,1256977102.309477,ripple,51.681881453431394,0.20183231831212844
2020-06-05,0.2048498448966637,9036511117.737663,1313145139.9027412,ripple,52.766755971770905,0.20229535493653972
2020-06-06,0.203138547547953,8983729851.068195,1297990440.471073,ripple,51.04279367541998,0.20258680893022832
2020-06-07,0.2032095968943038,8959322858.43545,1058657481.0092324,ripple,51.114205370164036,0.2028729163305446
2020-06-08,0.2029318950423821,8950315641.572674,1197102621.5350354,ripple,50.80228814519309,0.20304944372283182
2020-06-09,0.2040536556633028,9001388939.03785,1251561325.8446476,ripple,52.07453155233234,0.2033335459430425
2020-06-10,0.2012691474908419,8878556339.039703,1328042189.9544604,ripple,48.707449618757124,0.20369287506461706
2020-06-11,0.2028000526521789,8946088933.548634,1303802102.0559528,ripple,50.59870895634105,0.20408620689065926
2020-06-12,0.1901104918878887,8386316203.510396,1464763764.6771228,ripple,38.06877722406765,0.20413462634209392
2020-06-13,0.1934117184423724,8531942725.594468,1332835186.6451857,ripple,42.08669497863759,0.20420049180161398
2020-06-14,0.1927812935571546,8528927628.977804,1187813850.7313433,ripple,41.53255090194032,0.20420848390328836
2020-06-15,0.1903856507606028,8426050743.047891,1150138451.240482,ripple,39.40907418496709,0.2041277567221862
2020-06-16,0.1921076792508842,8520123141.714212,1454758196.3784769,ripple,41.71588539843715,0.20403129150226124
2020-06-17,0.1911280314860965,8470921493.314353,1246601572.7074816,ripple,40.76504699188729,0.20389599114422435
2020-06-18,0.1931721550021491,8577386518.673258,1319933194.810691,ripple,43.65115218397839,0.2034921417171001
2020-06-19,0.1904168195113875,8445132213.438693,1163790865.0304394,ripple,40.767764490673095,0.20277990576866362
2020-06-20,0.1872217853352464,8313481454.272817,1194918136.1065462,ripple,37.661154971421645,0.20226233150830072
2020-06-21,0.1886753828746182,8365620576.287947,1064702970.5453696,ripple,39.90484364288488,0.20168305069235223
2020-06-22,0.1854099592252496,8223074113.743773,1015362822.019244,ripple,36.70851993675214,0.20093269366024413
2020-06-23,0.1900352502164729,8440336061.247619,1031254003.7220416,ripple,43.599659967328236,0.20034540591714245
2020-06-24,0.1882923705116137,8350911268.409599,1139321571.8165245,ripple,41.75479243493402,0.19974454269369274
2020-06-25,0.183929729808104,8157424802.059575,1180122764.4242494,ripple,37.4797053026615,0.1990899637835376
2020-06-26,0.1835236551761963,8174313655.851336,1065596334.9274625,ripple,37.09895399629344,0.1984970649766494
2020-06-27,0.1827797132172419,8147773072.74046,1282600124.6016247,ripple,36.36998964556616,0.19776552212565687
2020-06-28,0.1758942909892878,7834494705.544174,1203944528.5554078,ripple,30.413536213398842,0.19691998275653827
2020-06-29,0.1769985457927027,7893165939.317899,1184828112.2307308,ripple,32.32769922053285,0.1961352188065459
2020-06-30,0.1775972067308944,7910841789.320565,1162669419.6907592,ripple,33.39734989614256,0.1956697562938797
2020-07-01,0.1757005136053166,7825863681.306612,1042249688.527783,ripple,31.68838939424586,0.19530600837443987
2020-07-02,0.1767398279580138,7876682374.54288,1164143368.3559296,ripple,33.69068904567591,0.19489833982666369
2020-07-03,0.175210257774019,7804027232.306131,907150118.059732,ripple,32.1950367570043,0.19436648263484238
2020-07-04,0.1760296723286848,7844409345.792821,965079482.8005862,ripple,33.88827543578489,0.1938192517608327
2020-07-05,0.1777614586588641,7927764847.482127,1028972055.3926406,ripple,37.44378984091253,0.1934049450739542
2020-07-06,0.1771849637233156,7886205457.101266,989670839.2420546,ripple,36.735524365827786,0.19293494363447639
2020-07-07,0.1883891324513359,8382624840.303058,1449017121.488291,ripple,54.67834930474212,0.1926894480509462
2020-07-08,0.1848248394453982,8221452519.17162,1118759148.372475,ripple,49.83603646851657,0.19229315787467033
2020-07-09,0.2043360987809611,9112910280.659475,1887140940.6239731,ripple,67.04241350798037,0.19228505085835554
2020-07-10,0.2023685614925825,9043230526.68333,1805510389.2195597,ripple,64.63480222570311,0.19229500196841998
2020-07-11,0.1987890313083414,8893727516.201387,1271305899.553482,ripple,60.3860528596622,0.1923705392824334
2020-07-12,0.201416195220585,9013255810.651312,1148229968.005948,ripple,62.34260226205282,0.19240668581309006
2020-07-13,0.2008469044649782,8966264523.682837,978263600.5955676,ripple,61.632236092644526,0.19247263831392075
2020-07-14,0.1986064679265707,8890650610.877533,1295450904.9373937,ripple,58.792970958878534,0.19256096041420498
2020-07-15,0.198871491614848,8915032188.42276,1229683954.141687,ripple,59.03338775541756,0.19260129280719446
2020-07-16,0.197230021439994,8838298047.426737,1087859005.570823,ripple,56.822107316535956,0.19266320127859415
2020-07-17,0.1940464027900509,8697735762.463654,1142507498.2131786,ripple,52.69903011095683,0.19260009417479312
2020-07-18,0.1942677657087078,8705421339.112036,1006735467.4007932,ripple,52.95464690234886,0.19246951152917297
2020-07-19,0.1994707631300637,8938710463.140823,977356287.6924582,ripple,58.615598410210644,0.19250082621959438
2020-07-20,0.199522931959199,8937948631.520885,1234247613.9802349,ripple,58.66930005959427,0.19237578827342453
2020-07-21,0.1946700277033581,8723579266.387522,1231350389.8074782,ripple,51.919969616346705,0.19220381462355174
2020-07-22,0.1990502172354597,8912758866.8116,1211211329.9152627,ripple,56.755624293484445,0.19196737197585642
2020-07-23,0.2034376405940475,9117327614.133474,1088497490.0178118,ripple,60.9880516267236,0.19197040720921837
2020-07-24,0.2081869528528015,9317240501.250223,1558970692.8591578,ripple,64.98327667782371,0.19206165220262572
2020-07-25,0.2042966234637715,9164825016.57929,1451104338.1077611,ripple,59.59905066196609,0.19205058777396788
2020-07-26,0.2142616155779087,9607904717.300404,1348536567.2629757,ripple,67.1151542050626,0.192273049134567
2020-07-27,0.2152833098092214,9655192377.359356,1517041766.201547,ripple,67.77705825082867,0.19251452339286534
2020-07-28,0.2238763206412864,10031095202.6743,1826151829.5592408,ripple,72.74575491659235,0.19293341190484345
2020-07-29,0.2299564389962979,10311201250.050516,1862380443.3500695,ripple,75.61135940781523,0.19345146757150336
2020-07-30,0.2426965515770819,10884642645.428476,2015964293.046442,ripple,80.28821501083273,0.19428001565322814
2020-07-31,0.2443588431660519,11025956249.094622,1678463250.129275,ripple,80.8054210445884,0.19511119146350564
2020-08-01,0.2592326561791822,11629863144.261322,1847648958.499788,ripple,84.67908630596256,0.19649363474933146
2020-08-02,0.2913018478979388,13102382209.080418,3150860709.8492293,ripple,89.56760975827298,0.1984514373384428
2020-08-03,0.286309750290156,12840645689.037195,4493672388.136328,ripple,85.0198937892983,0.20032200647310283
2020-08-04,0.3100926995272097,13884633781.743805,3166695299.039239,ripple,88.11575378830777,0.20271614744843497
2020-08-05,0.3006844248898732,13462388683.52242,2418576841.795307,ripple,80.98553529552933,0.20488768236121477
2020-08-06,0.3023822645129705,13565668790.998877,1922038117.7264876,ripple,81.27992874115309,0.20711276702175221
2020-08-07,0.3033670076975788,13609846976.87266,1861387417.2002969,ripple,81.45922978051749,0.20931666407566085
2020-08-08,0.2938976678070039,13200238136.076147,4636202683.783627,ripple,74.10858808681363,0.21138628104157317
